"id";"urutan";"permohonan_id";"pertanyaan";"tipe";"wajib";"created_at";"updated_at"
"1";"1";"1";"Nomor Surat Permohonan";"text";"1";"2025-12-20 08:22:32";"2025-12-20 08:22:32"
"2";"2";"1";"Tanggal Surat Permohonan";"date";"1";"2025-12-20 08:22:32";"2025-12-20 08:22:32"
"3";"3";"1";"Unggah File Surat Permohonan";"file";"1";"2025-12-20 08:22:32";"2025-12-20 08:22:32"
"4";"4";"1";"Jumlah Kepala Keluarga (KK) yang Mengajukan";"number";"1";"2025-12-20 08:22:32";"2025-12-20 08:22:32"
"5";"5";"1";"Unggah KTP Salah Satu Anggota Keluarga untuk Setiap KK yang Diusulkan";"file";"1";"2025-12-20 08:22:32";"2025-12-20 08:22:32"
"6";"6";"1";"Unggah Kartu Keluarga untuk Setiap KK yang Diusulkan";"file";"1";"2025-12-20 08:22:32";"2025-12-20 08:22:32"
"7";"7";"1";"Unggah Surat Rekomendasi dari Pemerintah Desa / Kelurahan";"file";"1";"2025-12-20 08:22:32";"2025-12-20 08:22:32"
"8";"1";"2";"Nomor Surat Permohonan";"text";"1";"2025-12-20 08:24:10";"2025-12-20 08:24:10"
"9";"2";"2";"Tanggal Surat Permohonan";"date";"1";"2025-12-20 08:24:10";"2025-12-20 08:24:10"
"10";"3";"2";"Unggah File Surat Permohonan";"file";"0";"2025-12-20 08:24:10";"2025-12-20 08:24:10"
"11";"4";"2";"Panjang Jaringan Listrik yang Akan Dipasang";"number";"1";"2025-12-20 08:24:10";"2025-12-20 08:24:10"
"12";"5";"2";"Jarak Lokadi dengna Jaringan LIstrik PLN Terdekat";"number";"1";"2025-12-20 08:24:10";"2025-12-20 08:24:10"
"13";"6";"2";"Unggah Surat Pernyataan";"file";"0";"2025-12-20 08:24:10";"2025-12-20 08:24:10"
"14";"1";"3";"Jenis Usaha / Bidang Usaha";"text";"0";"2025-12-20 23:38:29";"2025-12-20 23:38:29"
"15";"2";"3";"Upload Fotokopi Akta Pendirian Perusahaan";"file";"0";"2025-12-20 23:38:29";"2025-12-20 23:38:29"
"16";"3";"3";"Upload Fotokopi Izin Usaha (SIUP / TDP / Izin lain yang relevan)";"file";"0";"2025-12-20 23:38:29";"2025-12-20 23:38:29"
"17";"4";"3";"Upload NPWP Perusahaan";"file";"0";"2025-12-20 23:38:29";"2025-12-20 23:38:29"
"18";"5";"3";"Jumlah Karyawan";"number";"0";"2025-12-20 23:38:29";"2025-12-20 23:38:29"
"19";"6";"3";"Status Perusahaan";"radio";"0";"2025-12-20 23:38:29";"2025-12-20 23:38:29"
"20";"7";"3";"Tujuan Pengajuan SKTP";"textarea";"0";"2025-12-20 23:38:29";"2025-12-20 23:38:29"
"21";"1";"4";"Pertanyaan";"text";"0";"2025-12-20 23:39:21";"2025-12-20 23:39:21"
"22";"1";"5";"Pertanyaan";"text";"0";"2025-12-20 23:39:41";"2025-12-20 23:39:41"
"23";"1";"6";"Nama Desa";"text";"0";"2026-01-19 02:14:42";"2026-01-19 02:14:42"
"24";"2";"6";"Bentuk CSR";"text";"0";"2026-01-19 02:14:42";"2026-01-19 02:14:42"
"25";"3";"6";"Tujuan";"text";"0";"2026-01-19 02:14:42";"2026-01-19 02:14:42"
"26";"4";"6";"Upload Proposal";"file";"0";"2026-01-19 02:14:42";"2026-01-19 02:14:42"
"27";"5";"6";"Contact Person";"text";"0";"2026-01-19 02:15:29";"2026-01-19 02:15:29"
